,wl,mean,1,2,3,meta,std
112,9531.49951171875,5e-06,6e-06,6e-06,3e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,1.7320509e-06
113,9573.457885742188,2.67e-06,3e-06,2e-06,3e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,5.773503e-07
114,9615.416259765625,2e-06,2e-06,2e-06,2e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,0.0
115,9657.374633789062,1e-06,1e-06,1e-06,1e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,0.0
116,9699.3330078125,3.3e-07,0.0,2e-06,-1e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,1.5275252e-06
117,9741.291381835938,6.7e-07,0.0,2e-06,0.0,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,1.1547005e-06
118,9783.249755859375,0.0,0.0,-1e-06,1e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,1e-06
119,9825.208129882812,6.7e-07,2e-06,1e-06,-1e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,1.5275252e-06
120,9867.16650390625,6.7e-07,1e-06,1e-06,0.0,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,5.7735025e-07
121,9909.124877929688,1.67e-06,1e-06,2e-06,2e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,5.7735025e-07
122,9951.083251953125,1e-06,2e-06,1e-06,0.0,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,1e-06
123,9993.041625976562,6.7e-07,1e-06,0.0,1e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,5.7735025e-07
124,10035.0,0.0,0.0,2e-06,-2e-06,BB_RAD_300ms_700V_10p5tac_303Hz__9mil10035mil_241024,2e-06
